NOT UPLOADED,Survey_ID,Lake_Name,WBIC,County,Surveyor1,Surveyor2,Surveyor3,Surveyor4,Surveyor5,Surveyor6,Source,Surveyor7,Surveyor8,End_Date,Start_Date,Notes,Survey_Reason,QA Flag Code(s),Assessment_Grp,Ecoregion,Existing_Dataset
NA,1,Wingra,805000,Dane,Kelly Wagner,Alison Mikulyuk,NA,NA,NA,NA,DNR SS,NA,NA,2005-07-28 00:00:00,2005-07-28 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,172,Wingra,805000,Dane,Meghan Porzky,Katie Roth,NA,NA,NA,NA,DNR SS,NA,NA,2007-08-15 00:00:00,2007-08-13 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,260,Wingra,805000,Dane,Shaunna Chase,Nicholas Shefte,NA,NA,NA,NA,DNR SS,NA,NA,2008-08-21 00:00:00,2008-08-21 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,367,Wingra,805000,Dane,Michelle Nault,Meghan Porzky,Kristi Minahan,NA,NA,NA,DNR SS,NA,NA,2009-08-21 00:00:00,2009-08-20 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,400,Wingra,805000,Dane,Michelle Nault,Martha Barton,NA,NA,NA,NA,DNR SS,NA,NA,2010-08-24 00:00:00,2010-08-24 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,443,Wingra,805000,Dane,Michelle Nault,Martha Barton,Kelly Wagner,Erin Ridley,NA,NA,DNR SS,NA,NA,2011-09-01 00:00:00,2011-09-01 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,636,Wingra,805000,Dane,Michelle Nault,Martha Barton,Kari Soltau,NA,NA,NA,DNR SS,NA,NA,2012-08-29 00:00:00,2012-08-28 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,682,Wingra,805000,Dane,Michelle Nault,Martha Barton,Paul Frater,Kelsey Brown,NA,NA,DNR SS,NA,NA,2013-08-26 00:00:00,2013-08-26 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,719,Wingra,805000,Dane,Michelle Nault,Alison Mikulyuk,Kevin Doyle,NA,NA,NA,DNR SS,NA,NA,2014-09-04 00:00:00,2014-09-03 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,932,Wingra,805000,Dane,Paul Frater,Ellen Kujawa,NA,NA,NA,NA,DNR SS,NA,NA,2015-08-27 00:00:00,2015-08-26 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,1620,Wingra,805000,Dane,Alison Mikulyuk,Chelsey Blanke,Kevin Olson,NA,NA,NA,DNR CO,NA,NA,2017-08-16 00:00:00,2017-08-14 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,2012,Wingra,805000,Dane,Mica Kromrey,Sarah Fanning,Sue Graham,Shelby Adler,Ally Sogge,Julie Benzschawel,DNR CO & DNR SCR,NA,NA,2019-08-21 00:00:00,2019-08-20 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,2433,Wingra,805000,Dane,Mica Kromrey,Sarah Fanning,NA,NA,NA,NA,DNR CO,NA,NA,2020-08-18 00:00:00,2020-08-17 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,2698,Wingra,805000,Dane,Mica Kromrey,Sarah Fanning,NA,NA,NA,NA,DNR CO,NA,NA,2021-08-03 00:00:00,2021-08-02 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
NA,3007,Wingra,805000,Dane,Greta Helmueller,Schuyler Todd,NA,NA,NA,NA,DNR CO,NA,NA,2022-07-14 00:00:00,2022-07-12 00:00:00,NA,EWM LTT Unmanaged,NA,S_DRAINAGE,Southeastern Wisconsin Till Plains,EWM LTT Unmanaged
