year4,median_secchi,median_totnuf,median_totpuf,median_chla,colonization_ft,colonization_m,zoop_summer_mgm3,fil_algae_sum,arb.precip
1996,0.8500000000000001,902.5,39.5,NA,NA,NA,NA,2461,575.9
1997,0.6,1039,52.5,12.566666666666666,NA,NA,NA,0,628.8
1998,0.7,1009,38,20.1,NA,NA,NA,11,724.6
1999,0.7,900.5,55.5,28.2,NA,NA,NA,2,626.4
2000,0.68,1011,57,11.2,NA,NA,NA,77,866
2001,0.5,1010,66.5,20.2,NA,NA,NA,15,619.6
2002,0.5,1192,60,NA,NA,NA,NA,37,509.5
2003,0.45,1578,54,NA,NA,NA,NA,0,491.2
2004,0.7,931.5,57.5,NA,NA,NA,NA,565,678.4
2005,0.85,834,49,9.9,8.5,2.5908,NA,0,247.7
2006,0.7,977,64.5,19.450000000000003,NA,NA,NA,10,676.9
2007,0.7,865.5,43.75,12.633333333333335,9,2.7432000000000003,191.1964647521723,0,750.4
2008,1.05,448,38.5,6.733333333333334,10,3.048,192.65268221266015,733,734.1
2009,1.2,682,32,10.1,9.5,2.8956,562.8607754392523,5845,628.1
2010,0.9,807,37,14.908333333333333,10.5,3.2004,164.11188062029078,50,798.2
2011,1.2,619,24.5,12.2,13,3.9624,1066.7215344005072,6610,509.7
2012,1.5,447.5,24.5,7.800000000000001,13,3.9624,1395.8289070489577,10190,462.3
2013,0.8,930.5,51.25,21.700000000000003,13,3.9624,631.5290882542205,1020,816.6
2014,1.1,690,41,13.85,12.5,3.81,279.19487733118126,4705,645.9
2015,1.5,723.25,29.75,12.316666666666666,11,3.3528000000000002,503.69296982496775,2271,532.8
2016,1.55,680.5,36.25,16.741666666666667,NA,NA,1033.9170556938625,8035,719.3
2017,0.9,870,58,6.233333333333333,12,3.6576000000000004,930.1427012827188,5273,842.5
2018,1.25,917,46.5,17.55,NA,NA,80.76667309496793,3614,995
2019,1.15,781,42.5,17.75,12.5,3.81,NA,3100,620
2020,1.8,NA,NA,10.7,12,3.6576000000000004,NA,NA,544.3
2021,1.05,677.5,29.75,7.075,13,3.9624,NA,NA,441.9
2022,1.35,696,30,7.75,12,3.6576000000000004,NA,NA,611.6
2023,1.6,717,30.5,5.300000000000001,13,3.9624,NA,NA,443.4
